method,sweep,pop,working_set,run,mode,cyc_per_call,ns_per_call,dram_fills_per_call,l2_miss_per_call,freq_ghz
literal,bare,0,0,0,0,,576.9635,,,
micro,chain,64,8,0,0,331.07,87.0000,0.000155,0.028145,3.8054
micro,chain,64,8,0,1,379.16,100.0000,0.000150,0.031405,3.7916
micro,chain,64,8,1,0,332.27,87.0000,0.000140,0.029930,3.8192
micro,chain,64,8,1,1,380.26,100.0000,0.000150,0.029575,3.8026
micro,chain,64,8,2,0,332.21,87.0000,0.000140,0.031405,3.8185
micro,chain,64,8,2,1,380.12,100.0000,0.000145,0.030230,3.8012
micro,chain,64,8,3,0,332.72,87.0000,0.000140,0.029970,3.8244
micro,chain,64,8,3,1,380.62,100.0000,0.000155,0.031250,3.8062
micro,chain,64,8,4,0,332.28,87.0000,0.000150,0.031035,3.8193
micro,chain,64,8,4,1,381.15,100.0000,0.000140,0.030390,3.8115
micro,chain,64,8,5,0,334.50,87.0000,0.000145,0.031410,3.8448
micro,chain,64,8,5,1,380.21,100.0000,0.000150,0.030115,3.8021
micro,chain,64,8,6,0,332.48,87.0000,0.000130,0.030130,3.8216
micro,chain,64,8,6,1,380.19,100.0000,0.000130,0.031655,3.8019
micro,chain,64,8,7,0,333.98,87.0000,0.000150,0.030165,3.8389
micro,chain,64,8,7,1,380.28,100.0000,0.000135,0.030260,3.8028
micro,chain,64,8,8,0,332.26,87.0000,0.000140,0.031335,3.8191
micro,chain,64,8,8,1,380.22,100.0000,0.000145,0.030095,3.8022
micro,chain,64,8,9,0,333.97,87.0000,0.000135,0.030100,3.8387
micro,chain,64,8,9,1,377.95,100.0000,0.000130,0.030035,3.7795
micro,chain,64,8,10,0,332.35,87.0000,0.000130,0.031400,3.8201
micro,chain,64,8,10,1,380.30,100.0000,0.000135,0.031475,3.8030
literal,chain,64,8,0,0,,621.4090,,,
literal,chain,64,8,0,1,,627.5520,,,
micro,chain,128,8,0,0,328.95,87.0000,0.000155,0.028045,3.7810
micro,chain,128,8,0,1,381.14,100.0000,0.000140,0.031450,3.8114
micro,chain,128,8,1,0,328.88,87.0000,0.000160,0.029965,3.7802
micro,chain,128,8,1,1,382.22,100.0000,0.000120,0.031645,3.8222
micro,chain,128,8,2,0,332.01,87.0000,0.000145,0.030030,3.8162
micro,chain,128,8,2,1,383.31,100.0000,0.000140,0.030130,3.8331
micro,chain,128,8,3,0,332.83,87.0000,0.000160,0.031735,3.8256
micro,chain,128,8,3,1,382.04,100.0000,0.000145,0.030360,3.8204
micro,chain,128,8,4,0,333.07,87.0000,0.000135,0.030335,3.8283
micro,chain,128,8,4,1,376.87,100.0000,0.000135,0.030655,3.7687
micro,chain,128,8,5,0,333.38,87.0000,0.000140,0.029770,3.8320
micro,chain,128,8,5,1,380.25,100.0000,0.000135,0.030165,3.8025
micro,chain,128,8,6,0,334.55,87.0000,0.000130,0.031525,3.8454
micro,chain,128,8,6,1,380.50,100.0000,0.000140,0.030165,3.8050
micro,chain,128,8,7,0,332.10,87.0000,0.000135,0.030045,3.8173
micro,chain,128,8,7,1,380.48,100.0000,0.000135,0.031685,3.8048
micro,chain,128,8,8,0,328.87,87.0000,0.000140,0.029870,3.7801
micro,chain,128,8,8,1,379.35,100.0000,0.000140,0.030310,3.7935
micro,chain,128,8,9,0,332.18,87.0000,0.000140,0.031010,3.8181
micro,chain,128,8,9,1,380.17,100.0000,0.000110,0.029860,3.8017
micro,chain,128,8,10,0,332.31,87.0000,0.000135,0.030265,3.8196
micro,chain,128,8,10,1,380.21,100.0000,0.000145,0.031515,3.8021
literal,chain,128,8,0,0,,628.4018,,,
literal,chain,128,8,0,1,,648.2807,,,
micro,chain,256,8,0,0,328.66,87.0000,0.000155,0.028695,3.7777
micro,chain,256,8,0,1,379.37,100.0000,0.000145,0.031500,3.7937
micro,chain,256,8,1,0,332.65,87.0000,0.000145,0.031185,3.8236
micro,chain,256,8,1,1,380.76,100.0000,0.000145,0.029765,3.8076
micro,chain,256,8,2,0,333.90,87.0000,0.000145,0.029920,3.8380
micro,chain,256,8,2,1,380.22,100.0000,0.000140,0.031230,3.8022
micro,chain,256,8,3,0,332.67,87.0000,0.000115,0.031215,3.8238
micro,chain,256,8,3,1,380.20,100.0000,0.000145,0.030070,3.8020
micro,chain,256,8,4,0,332.08,87.0000,0.000140,0.029695,3.8170
micro,chain,256,8,4,1,380.30,100.0000,0.000145,0.031235,3.8030
micro,chain,256,8,5,0,332.09,87.0000,0.000135,0.031185,3.8172
micro,chain,256,8,5,1,380.20,100.0000,0.000145,0.029980,3.8020
micro,chain,256,8,6,0,332.14,87.0000,0.000140,0.029815,3.8176
micro,chain,256,8,6,1,381.98,100.0000,0.000140,0.031530,3.8198
micro,chain,256,8,7,0,332.09,87.0000,0.000140,0.031055,3.8172
micro,chain,256,8,7,1,380.32,100.0000,0.000140,0.029980,3.8032
micro,chain,256,8,8,0,332.14,87.0000,0.000125,0.029905,3.8178
micro,chain,256,8,8,1,379.26,100.0000,0.000135,0.031310,3.7926
micro,chain,256,8,9,0,332.82,87.0000,0.000135,0.031200,3.8255
micro,chain,256,8,9,1,380.61,100.0000,0.000135,0.030085,3.8061
micro,chain,256,8,10,0,332.10,87.0000,0.000140,0.029680,3.8172
micro,chain,256,8,10,1,379.18,100.0000,0.000130,0.031270,3.7918
literal,chain,256,8,0,0,,622.5689,,,
literal,chain,256,8,0,1,,629.3399,,,
micro,chain,512,8,0,0,329.95,88.0000,0.000160,0.028095,3.7494
micro,chain,512,8,0,1,381.78,101.0000,0.000130,0.031880,3.7800
micro,chain,512,8,1,0,333.80,88.0000,0.000150,0.029640,3.7932
micro,chain,512,8,1,1,381.86,101.0000,0.000130,0.030230,3.7808
micro,chain,512,8,2,0,334.51,88.0000,0.000135,0.031295,3.8013
micro,chain,512,8,2,1,378.39,101.0000,0.000150,0.029500,3.7465
micro,chain,512,8,3,0,333.17,88.0000,0.000110,0.029975,3.7860
micro,chain,512,8,3,1,381.79,101.0000,0.000145,0.031430,3.7801
micro,chain,512,8,4,0,333.19,88.0000,0.000145,0.031125,3.7863
micro,chain,512,8,4,1,381.87,101.0000,0.000145,0.030040,3.7809
micro,chain,512,8,5,0,333.66,88.0000,0.000140,0.029760,3.7916
micro,chain,512,8,5,1,381.55,101.0000,0.000150,0.031450,3.7778
micro,chain,512,8,6,0,332.88,88.0000,0.000135,0.029815,3.7827
micro,chain,512,8,6,1,381.91,101.0000,0.000135,0.029995,3.7813
micro,chain,512,8,7,0,335.08,88.0000,0.000150,0.031580,3.8077
